"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD","ProductDescription"
"S3","MEX","011","Mexico","USA","United States",1998,"Export",6,8103.888,"Beef, fresh/chilld/frozn"
"S3","MEX","011","Mexico","USA","United States",1998,"Import",5,489045.248,"Beef, fresh/chilld/frozn"
"S3","MEX","011","Mexico","USA","United States",1999,"Export",6,10068.589,"Beef, fresh/chilld/frozn"
"S3","MEX","011","Mexico","USA","United States",1999,"Import",5,537909.248,"Beef, fresh/chilld/frozn"
"S3","MEX","011","Mexico","USA","United States",2000,"Export",6,13490.695,"Beef, fresh/chilld/frozn"
"S3","MEX","011","Mexico","USA","United States",2000,"Import",5,634124.188,"Beef, fresh/chilld/frozn"
"S3","MEX","011","Mexico","USA","United States",2001,"Export",6,11596.844,"Beef, fresh/chilld/frozn"
"S3","MEX","011","Mexico","USA","United States",2001,"Import",5,702695.435,"Beef, fresh/chilld/frozn"
"S3","MEX","011","Mexico","USA","United States",2002,"Export",6,13701.723,"Beef, fresh/chilld/frozn"
"S3","MEX","011","Mexico","USA","United States",2002,"Import",5,828843.16,"Beef, fresh/chilld/frozn"
"S3","MEX","011","Mexico","USA","United States",2003,"Export",6,26338.427,"Beef, fresh/chilld/frozn"
"S3","MEX","011","Mexico","USA","United States",2003,"Import",5,738059.198,"Beef, fresh/chilld/frozn"
"S3","MEX","011","Mexico","USA","United States",2004,"Export",6,51404.602,"Beef, fresh/chilld/frozn"
"S3","MEX","011","Mexico","USA","United States",2004,"Import",5,418849.671,"Beef, fresh/chilld/frozn"
"S3","MEX","011","Mexico","USA","United States",2005,"Export",6,60863.518,"Beef, fresh/chilld/frozn"
"S3","MEX","011","Mexico","USA","United States",2005,"Import",5,659455.15,"Beef, fresh/chilld/frozn"
"S3","MEX","011","Mexico","USA","United States",2006,"Export",6,88410.728,"Beef, fresh/chilld/frozn"
"S3","MEX","011","Mexico","USA","United States",2006,"Import",5,822926.442,"Beef, fresh/chilld/frozn"
"S3","MEX","011","Mexico","USA","United States",2007,"Export",6,96888.122,"Beef, fresh/chilld/frozn"
"S3","MEX","011","Mexico","USA","United States",2007,"Import",5,897823.92,"Beef, fresh/chilld/frozn"
"S3","MEX","011","Mexico","USA","United States",2008,"Export",6,82661.83,"Beef, fresh/chilld/frozn"
"S3","MEX","011","Mexico","USA","United States",2008,"Import",5,1004826.018,"Beef, fresh/chilld/frozn"
"S3","MEX","011","Mexico","USA","United States",2009,"Export",6,125236.093,"Beef, fresh/chilld/frozn"
"S3","MEX","011","Mexico","USA","United States",2009,"Import",5,695897.765,"Beef, fresh/chilld/frozn"
"S3","MEX","011","Mexico","USA","United States",2010,"Export",6,209585.53,"Beef, fresh/chilld/frozn"
"S3","MEX","011","Mexico","USA","United States",2010,"Import",5,713472.861,"Beef, fresh/chilld/frozn"
"S3","MEX","012","Mexico","USA","United States",1990,"Export",6,2748.413,"Meat nes,fresh/chld/froz"
"S3","MEX","012","Mexico","USA","United States",1990,"Import",5,215490.8,"Meat nes,fresh/chld/froz"
