"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD","ProductDescription"
"S3","MEX","041","Mexico","WLD"," World",2007,"Import",5,856009.494,"Wheat/meslin"
"S3","MEX","042","Mexico","WLD"," World",1993,"Export",6,61,"Rice"
"S3","MEX","042","Mexico","WLD"," World",1993,"Import",5,72134,"Rice"
"S3","MEX","042","Mexico","WLD"," World",2007,"Export",6,4910.652,"Rice"
"S3","MEX","042","Mexico","WLD"," World",2007,"Import",5,247755.118,"Rice"
"S3","MEX","043","Mexico","WLD"," World",1993,"Import",5,13497,"Barley grain"
"S3","MEX","043","Mexico","WLD"," World",2007,"Export",6,0.018,"Barley grain"
"S3","MEX","043","Mexico","WLD"," World",2007,"Import",5,28803.486,"Barley grain"
"S3","MEX","044","Mexico","WLD"," World",1993,"Export",6,6221,"Maize except sweet corn."
"S3","MEX","044","Mexico","WLD"," World",1993,"Import",5,69727,"Maize except sweet corn."
"S3","MEX","044","Mexico","WLD"," World",2007,"Export",6,71325.905,"Maize except sweet corn."
"S3","MEX","044","Mexico","WLD"," World",2007,"Import",5,1554319.466,"Maize except sweet corn."
"S3","MEX","045","Mexico","WLD"," World",1993,"Export",6,24,"Cereal grains nes"
"S3","MEX","045","Mexico","WLD"," World",1993,"Import",5,399908,"Cereal grains nes"
"S3","MEX","045","Mexico","WLD"," World",2007,"Export",6,401.655,"Cereal grains nes"
"S3","MEX","045","Mexico","WLD"," World",2007,"Import",5,393734.024,"Cereal grains nes"
"S3","MEX","046","Mexico","WLD"," World",1993,"Export",6,381,"Flour/meal wheat/meslin"
"S3","MEX","046","Mexico","WLD"," World",1993,"Import",5,7358,"Flour/meal wheat/meslin"
"S3","MEX","046","Mexico","WLD"," World",2007,"Export",6,32065.129,"Flour/meal wheat/meslin"
"S3","MEX","046","Mexico","WLD"," World",2007,"Import",5,25471.735,"Flour/meal wheat/meslin"
"S3","MEX","047","Mexico","WLD"," World",1993,"Export",6,672,"Cereal meal/flour n.e.s"
"S3","MEX","047","Mexico","WLD"," World",1993,"Import",5,15314,"Cereal meal/flour n.e.s"
"S3","MEX","047","Mexico","WLD"," World",2007,"Export",6,28515.889,"Cereal meal/flour n.e.s"
"S3","MEX","047","Mexico","WLD"," World",2007,"Import",5,21168.362,"Cereal meal/flour n.e.s"
"S3","MEX","048","Mexico","WLD"," World",1993,"Export",6,57185,"Cereal etc flour/starch"
"S3","MEX","048","Mexico","WLD"," World",1993,"Import",5,206163.008,"Cereal etc flour/starch"
"S3","MEX","048","Mexico","WLD"," World",2007,"Export",6,565558.404,"Cereal etc flour/starch"
"S3","MEX","048","Mexico","WLD"," World",2007,"Import",5,984963.615,"Cereal etc flour/starch"
"S3","MEX","054","Mexico","WLD"," World",1993,"Export",6,1226760.96,"Vegetables,frsh/chld/frz"
"S3","MEX","054","Mexico","WLD"," World",1993,"Import",5,82765,"Vegetables,frsh/chld/frz"
"S3","MEX","054","Mexico","WLD"," World",2007,"Export",6,3553047.599,"Vegetables,frsh/chld/frz"
"S3","MEX","054","Mexico","WLD"," World",2007,"Import",5,311094.013,"Vegetables,frsh/chld/frz"
"S3","MEX","056","Mexico","WLD"," World",1993,"Export",6,98896,"Veg root/tuber prep/pres"
"S3","MEX","056","Mexico","WLD"," World",1993,"Import",5,62195,"Veg root/tuber prep/pres"
"S3","MEX","056","Mexico","WLD"," World",2007,"Export",6,282409.19,"Veg root/tuber prep/pres"
"S3","MEX","056","Mexico","WLD"," World",2007,"Import",5,308213.75,"Veg root/tuber prep/pres"
"S3","MEX","057","Mexico","WLD"," World",1993,"Export",6,415115.008,"Fruit/nuts, fresh/dried"
"S3","MEX","057","Mexico","WLD"," World",1993,"Import",5,207466,"Fruit/nuts, fresh/dried"
"S3","MEX","057","Mexico","WLD"," World",2007,"Export",6,1943621.061,"Fruit/nuts, fresh/dried"
"S3","MEX","057","Mexico","WLD"," World",2007,"Import",5,736702.744,"Fruit/nuts, fresh/dried"
"S3","MEX","058","Mexico","WLD"," World",1993,"Export",6,52568,"Fruit presvd/fruit preps"
"S3","MEX","058","Mexico","WLD"," World",1993,"Import",5,44253,"Fruit presvd/fruit preps"
"S3","MEX","058","Mexico","WLD"," World",2007,"Export",6,249778.571,"Fruit presvd/fruit preps"
"S3","MEX","058","Mexico","WLD"," World",2007,"Import",5,256317.563,"Fruit presvd/fruit preps"
"S3","MEX","059","Mexico","WLD"," World",1993,"Export",6,50533,"Fruit/veg juices"
"S3","MEX","059","Mexico","WLD"," World",1993,"Import",5,17847,"Fruit/veg juices"
"S3","MEX","059","Mexico","WLD"," World",2007,"Export",6,247290.114,"Fruit/veg juices"
"S3","MEX","059","Mexico","WLD"," World",2007,"Import",5,59447.667,"Fruit/veg juices"
"S3","MEX","061","Mexico","WLD"," World",1993,"Export",6,47670,"Sugar/mollasses/honey"
"S3","MEX","061","Mexico","WLD"," World",1993,"Import",5,47505,"Sugar/mollasses/honey"
"S3","MEX","061","Mexico","WLD"," World",2007,"Export",6,196556.154,"Sugar/mollasses/honey"
"S3","MEX","061","Mexico","WLD"," World",2007,"Import",5,450848.98,"Sugar/mollasses/honey"
"S3","MEX","062","Mexico","WLD"," World",1993,"Export",6,56282,"Sugar confectionery"
"S3","MEX","062","Mexico","WLD"," World",1993,"Import",5,61016,"Sugar confectionery"
"S3","MEX","062","Mexico","WLD"," World",2007,"Export",6,462755.833,"Sugar confectionery"
"S3","MEX","062","Mexico","WLD"," World",2007,"Import",5,90648.99,"Sugar confectionery"
"S3","MEX","071","Mexico","WLD"," World",1993,"Export",6,299710.016,"Coffee/coffee substitute"
"S3","MEX","071","Mexico","WLD"," World",1993,"Import",5,5677,"Coffee/coffee substitute"
"S3","MEX","071","Mexico","WLD"," World",2007,"Export",6,461226.745,"Coffee/coffee substitute"
"S3","MEX","071","Mexico","WLD"," World",2007,"Import",5,43377.233,"Coffee/coffee substitute"
"S3","MEX","072","Mexico","WLD"," World",1993,"Export",6,24450,"Cocoa"
"S3","MEX","072","Mexico","WLD"," World",1993,"Import",5,6656,"Cocoa"
"S3","MEX","072","Mexico","WLD"," World",2007,"Export",6,16573.064,"Cocoa"
"S3","MEX","072","Mexico","WLD"," World",2007,"Import",5,29014.147,"Cocoa"
"S3","MEX","073","Mexico","WLD"," World",1993,"Export",6,11271,"Chocolate/cocoa preps"
"S3","MEX","073","Mexico","WLD"," World",1993,"Import",5,72433,"Chocolate/cocoa preps"
"S3","MEX","073","Mexico","WLD"," World",2007,"Export",6,168982.909,"Chocolate/cocoa preps"
"S3","MEX","073","Mexico","WLD"," World",2007,"Import",5,297611.5,"Chocolate/cocoa preps"
"S3","MEX","074","Mexico","WLD"," World",1993,"Export",6,169,"Tea and mate"
"S3","MEX","074","Mexico","WLD"," World",1993,"Import",5,2663,"Tea and mate"
"S3","MEX","074","Mexico","WLD"," World",2007,"Export",6,19373.554,"Tea and mate"
